Name,Year,Strategy Development,OrganizationEN,Content,Identification of Incidents,OrganizationRI,CoordinationRI,Mode of Operation,Identification of Incidents,OrganizationPI,Risk Management and Response,Crisis Management,Strategy,OrganizationDC,CoordinationDC,Communications Redundancy,Government,Private sector,Users,User Trust and Confidence on the Internet,User Trust in E-government Services,User Trust in E-commerce Services,User Understanding of Personal Information Protection Online,Reporting Mechanisms,Media and Social Media,Awareness Raising Programmes,Executive Awareness Raising,ProvisionMF,Administration,ProvisiónMC,Uptake,Legislative frameworks for ICT Security,"Privacy, Freedom of Speech and other Human Rights online",Data Protection Legislation,Child Protection Online,Consumer Protection Legislation,Intellectual Property Legislation,Substantive cybercrime Legislation,Procedural cybercrime Legislation,Law enforcement,Prosecution,Courts,Formal Cooperation,Informal Cooperation,ICT Security Standards,Standards in Procurement,Standards in Software Development,Internet Infrastructure Resilience,Software Quality,Technical Security Controls,Cryptographic Controls,Cyber Security Technologies,Cybercrime Insurance,Responsible Disclosure
Haiti,2020,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1
Jamaica,2020,3,2,3,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,1,1
St. Kitts and Nevis,2020,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,1,2,1,1,2,2,2,1,3,2,2,2,3,2,2,1,2,1,2,2,1,2,2,2,1,2,1,1,1
St. Lucia,2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1
Mexico,2020,3,2,3,4,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,2,2,3,2,2,3,3,2,3,3,3,2,1
Nicaragua,2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,3,2,1,1,1,1,1,2,2,2,2,1,2,2,1,1
Panama,2020,3,3,2,3,3,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
Peru,2020,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,1,2,2,3,3,3,3,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1
Paraguay,2020,3,2,3,3,3,3,2,1,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,3,3,2,3,2,3,3,2,3,3,2,2,2,2,2,3,2,2,2,2
Suriname,2020,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,2,1,3,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,3,1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1
El Salvador,2020,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1
Trinidad and Tobago,2020,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,3,3,1,2,3,3,3,3,2,3,3,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,1,1
Uruguay,2020,4,4,3,4,5,5,4,2,3,3,3,3,3,3,4,5,3,3,4,5,4,4,4,3,4,3,3,3,4,3,4,5,5,2,2,2,2,2,3,2,3,2,4,4,4,4,4,4,4,5,3,3,4
St. Vincent and the Grenadines,2020,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,2,1,1,2,2,2,2,3,2,2,2,3,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1
Venezuela,2020,1,1,1,2,3,3,2,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,1,2,2,3,2,1,2,2,2,3,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1
Utopia,2020,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Dystopia,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
